Maturity,Interpolated Zero Rates
0.08,0.01
0.18006688963210704,0.011246443966491361
0.28013377926421407,0.012296632056250202
0.3802006688963211,0.013167909505625908
0.4802675585284281,0.013877621550967863
0.5803344481605351,0.014444631412638848
0.6804013377926421,0.014898920578330022
0.7804682274247491,0.01527541468782974
0.8805351170568562,0.015609061876870414
0.9806020066889632,0.015934810281184455
1.0806688963210704,0.01628406159149643
1.1807357859531773,0.016662518485730752
1.2808026755852844,0.017064562393290423
1.3808695652173915,0.017484525432409217
1.4809364548494983,0.017916739721320903
1.5810033444816054,0.018354953120883196
1.6810702341137125,0.01878872467965143
1.7811371237458196,0.019205785404597164
1.8812040133779266,0.019593858687052896
1.9812709030100335,0.019940667918351085
2.081337792642141,0.020235665884134606
2.1814046822742474,0.020480572817237017
2.2814715719063545,0.020682412428084218
2.3815384615384616,0.02084822954095034
2.4816053511705687,0.02098506898010948
2.5816722408026758,0.021099975569835762
2.681739130434783,0.021199994134403308
2.78180602006689,0.02129216949808622
2.8818729096989966,0.021383546485158632
2.9819397993311036,0.021481169919894644
3.0820066889632107,0.021591282561034885
3.182073578595318,0.021714557283325227
3.282140468227425,0.021849303994966134
3.382207357859532,0.021993824037138933
3.482274247491639,0.022146418751024972
3.582341137123746,0.022305389477805578
3.682408026755853,0.02246903755866209
3.78247491638796,0.022635664334775846
3.882541806020067,0.022803571147328172
3.982608695652174,0.02297105933750042
4.0826755852842815,0.023136566396845765
4.182742474916388,0.023299455513897574
4.282809364548495,0.02345947523234463
4.382876254180602,0.023616375363187482
4.482943143812709,0.023769905717426654
4.5830100334448165,0.023919816106062704
4.683076923076923,0.024065856340096156
4.783143812709031,0.02420777623052756
4.883210702341137,0.024345325588357454
4.983277591973244,0.024478254224586375
5.0833444816053515,0.024606327981966516
5.183411371237458,0.024729419431836736
5.283478260869566,0.02484744473984951
5.383545150501672,0.0249603202011505
5.48361204013378,0.025067962110885342
5.583678929765886,0.025170286764199693
5.683745819397993,0.025267210456239204
5.783812709030101,0.025358649482149533
5.883879598662207,0.02544452013707632
5.983946488294315,0.025524738716165216
6.084013377926421,0.025599221514561878
6.184080267558529,0.025667884827411953
6.2841471571906355,0.025730644949861093
6.384214046822743,0.02578741817705495
6.48428093645485,0.02583812080413917
6.584347826086956,0.02588266912625941
6.684414715719064,0.025920979438561316
6.7844816053511705,0.025952968036190537
6.884548494983278,0.025978551214292732
6.984615384615385,0.025997645268013545
7.084682274247492,0.0260102090350621
7.184749163879599,0.026016472950188857
7.284816053511706,0.026016774234246202
7.384882943143813,0.02601145036318391
7.48494983277592,0.026000838812951763
7.585016722408027,0.02598527705949955
7.685083612040134,0.02596510257877705
7.785150501672241,0.02594065284673404
7.885217391304348,0.02591226533932032
7.9852842809364555,0.025880277532485656
8.085351170568563,0.02584502690217984
8.18541806020067,0.025806850924352656
8.285484949832776,0.025766087074953887
8.385551839464883,0.02572307282993331
8.48561872909699,0.02567814566524071
8.585685618729098,0.025631643056825873
8.685752508361205,0.025583902480638587
8.785819397993311,0.025535261412628626
8.885886287625418,0.02548605732874578
8.985953177257525,0.02543662770493983
9.086020066889633,0.025387310017160554
9.18608695652174,0.02533844174135774
9.286153846153846,0.02529036035348117
9.386220735785953,0.02524340332948063
9.486287625418061,0.0251979081453059
9.586354515050168,0.025154212276906767
9.686421404682275,0.025112653200233013
9.786488294314381,0.025073568391234417
9.886555183946488,0.025037295325860763
9.986622073578596,0.02500417148006184
10.086688963210703,0.02497448805916132
10.18675585284281,0.02494825871798174
10.286822742474916,0.024925394094140033
10.386889632107025,0.02490580465520169
10.486956521739131,0.0248894008687322
10.587023411371238,0.024876093202297046
10.687090301003344,0.02486579212346171
10.787157190635451,0.024858408099791687
10.88722408026756,0.02485385159885247
10.987290969899666,0.024852033088209532
11.087357859531773,0.024852863035428364
11.18742474916388,0.024856251908074455
11.287491638795986,0.024862110173713294
11.387558528428094,0.02487034829991036
11.487625418060201,0.02488087675423115
11.587692307692308,0.024893606004241144
11.687759197324414,0.02490844651750583
11.787826086956523,0.024925308761590697
11.88789297658863,0.024944103204061232
11.987959866220736,0.024964740312482914
12.088026755852843,0.024987130554421245
12.18809364548495,0.025011184397441693
12.288160535117058,0.02503681230910976
12.388227424749164,0.025063924756990926
12.488294314381271,0.02509243220865068
12.588361204013378,0.025122245131654508
12.688428093645486,0.0251532739935679
12.788494983277593,0.02518542926195634
12.8885618729097,0.025218621404385314
12.988628762541806,0.02525276088842031
13.088695652173913,0.02528775818162681
13.188762541806021,0.025323523751570313
13.288829431438128,0.025359968065816297
13.388896321070234,0.025397001591930247
13.488963210702341,0.025434534797477655
13.58903010033445,0.025472478150024007
13.689096989966556,0.025510742117134787
13.789163879598663,0.025549237166375485
13.88923076923077,0.025587873765311585
13.989297658862876,0.025626562381508577
14.089364548494984,0.025665213482531948
14.189431438127091,0.02570373753594718
14.289498327759198,0.025742045009319762
14.389565217391304,0.025780046370215182
14.489632107023413,0.02581765208619893
14.58969899665552,0.02585477262483649
14.689765886287626,0.025891318453693347
14.789832775919733,0.02592720004033499
14.88989966555184,0.0259623278523269
14.989966555183948,0.02599661235723457
15.090033444816054,0.026029977751252945
15.19010033444816,0.026062422546320987
15.290167224080268,0.026093970284605156
15.390234113712374,0.026124644527272423
15.490301003344483,0.02615446883548976
15.59036789297659,0.026183466770424154
15.690434782608696,0.026211661893242574
15.790501672240802,0.026239077765112
15.890568561872911,0.026265737947199407
15.990635451505018,0.026291666000671777
16.090702341137124,0.026316885486696084
16.19076923076923,0.02634141996643931
