Index,Forecast,Model,AIC Criterion Value
99,0.027098207032856376,"ARMA (2, 0, 3)",-252.93020351627894
100,0.019748497136426246,"ARMA (2, 0, 3)",-252.93020351627894
101,0.013608848160615514,"ARMA (2, 0, 3)",-252.93020351627894
102,0.015139684981235003,"ARMA (2, 0, 3)",-252.93020351627894
103,0.012343514177840883,"ARMA (2, 0, 3)",-252.93020351627894
104,0.013383681110106653,"ARMA (2, 0, 3)",-252.93020351627894
105,0.01206150450028792,"ARMA (2, 0, 3)",-252.93020351627894
106,0.012686202091724002,"ARMA (2, 0, 3)",-252.93020351627894
107,0.012042135629227176,"ARMA (2, 0, 3)",-252.93020351627894
108,0.012396005409381851,"ARMA (2, 0, 3)",-252.93020351627894
